Date,Address,Draw1,Draw2,Draw3,Max,PIN,Property Class,Neighborhood Code,Land Square Feet,Town Code,Type of Residence,Apartments,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Construction Quality,Renovation,Site Desireability,Garage 1 Size,Garage 1 Material,Porch,Other Improvements,Building Square Feet,Repair Condition,Multi Code,Number of Commercial Units,Prior Tax Year Market Value Estimate (Land),Prior Tax Year Market Value Estimate (Building),Longitude,Latitude,Total Building Square Feet,Multi Property Indicator,Age,Use,Multi-Family Indicator,"Condition, Desirability and Utility",Near Major Road,Location Factor,Garage indicator,Neigborhood Code (mapping),Town and Neighborhood,property_city,property_zip,longitude,latitude,township,township_name,nbhd,tract_geoid,tract_pop,tract_white_perc,commissioner_dist,reps_dist,senate_dist,ward,school_elem_district
12/10/2020,97XX S MERRION AVE,390,8000,5800,8000,2.51222E+13,210,180,4560,70,5,0,3,1,5,3,3,3,2,,2,0,0,3,0,981,2,2,0,25080,48530,-87.5695558,41.71742305,,0,70,1,,,0,0.129551727,0,180,70180,CHICAGO,60617-4847,-87.5695558,41.71742305,70,Hyde Park,180,17031510300,5126,0.00351151,4th,33,17,7,BURNHAM
11/4/2020,63XX N HAMLIN AVE,6000,460,46,6000,1.3021E+13,205,30,5080,71,2,0,2,1,7,4,1,1,2,,2,1,2,3,0,2170,2,2,0,68580,353930,-87.72359929,41.99563678,,0,64,1,,,0,1.065744861,1,30,7130,CHICAGO,60659-1021,-87.72359929,41.99563678,71,Jefferson,30,17031130100,5228,0.599464422,10th,15,8,39,SOLOMON
11/21/2019,76XX S DAMEN AVE,4100,3.6,1.3,4100,2.03031E+13,203,212,3750,72,5,0,2,1,7,4,1,1,2,,2,3,1,3,0,1698,2,2,0,30000,123300,-87.67360086,41.75416472,,0,79,1,,,0,0.516366449,1,212,72212,CHICAGO,60620-5752,-87.67360086,41.75416472,72,Lake,212,17031710400,5514,0.007616975,3rd,31,16,18,BARTON
3/18/2020,48XX N MERRIMAC AVE,4000,7.4,2.6,4000,1.30832E+13,203,430,3845,71,1,0,2,1,5,2,1,3,2,,2,3,1,3,0,1027,2,2,0,48060,310280,-87.78400545,41.9697176,,0,90,1,,,0,1.233270369,1,430,71430,CHICAGO,60630-2913,-87.78400545,41.9697176,71,Jefferson,430,17031110300,5720,0.643881119,12th,19,10,45,GARVY
10/11/2019,115XX S JUSTINE ST,1300,11,6.5,1300,2.5203E+13,203,310,3690,72,1,0,1,1,4,2,2,3,2,,2,0,0,3,0,1040,2,2,0,23980,47840,-87.66072388,41.68431986,,0,56,1,,,0,0.454338877,0,310,72310,CHICAGO,60643-5003,-87.66072388,41.68431986,72,Lake,310,17031530300,4440,0.001576577,5th,27,14,34,WHISTLER
10/8/2019,84XX S MANISTEE AVE,1100,16,10,1100,2.13132E+13,211,100,6250,70,2,0,1,1,12,6,1,3,2,,2,0,0,3,0,2400,2,2,0,62500,225430,-87.55720889,41.74130186,4040,1,125,2,211,,0,0.447675986,0,100,70100,CHICAGO,60617-2052,-87.55720889,41.74130186,70,Hyde Park,100,17031460301,3124,0.009282971,4th,33,17,7,HEROES
8/25/2021,104XX S CORLISS AVE,1100,110,27,1100,2.5141E+13,210,230,1955,70,2,0,2,1,5,3,1,3,2,,2,0,0,3,0,946,2,2,0,21500,63380,-87.60356263,41.7047564,,0,130,1,,,0,0.060510066,0,230,70230,CHICAGO,60628-3040,-87.60356263,41.7047564,70,Hyde Park,230,17031500200,2131,0.016424214,4th,34,17,9,SMITH
1/7/2020,22XX S KOLIN AVE,1100,3.9,3.1,1100,1.6272E+13,211,91,2675,77,2,0,1,1,5,3,2,3,2,,2,1,1,3,0,1752,2,2,0,31430,90170,-87.73196307,41.84959359,,0,115,2,211,,0,0.388126539,1,91,7791,CHICAGO,60623-2916,-87.73196307,41.84959359,77,West Chicago,91,17031843400,1195,0.032635983,2nd,9,5,22,CORKERY
8/24/2021,104XX S CORLISS AVE ,1100,110,27,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2017,12XX W NORWOOD ST,730,17,19,730,1.40513E+13,205,22,3075,73,2,0,2,2,7,4,1,3,2,,2,0,0,1,0,1966,2,2,0,116850,528060,-87.66129303,41.99155042,,0,120,1,,,0,0.703837998,0,22,7322,CHICAGO,60660-2518,-87.66129303,41.99155042,73,Lake View,22,17031030200,5444,0.770940485,10th,14,7,48,PEIRCE
