Sample Date,Address,1st Draw,2/3 Min,5 Min,Max,PIN,Property Class,Neighborhood Code,Land Square Feet,Town Code,Type of Residence,Apartments,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Construction Quality,Renovation,Site Desireability,Garage 1 Size,Garage 1 Material,Porch,Other Improvements,Building Square Feet,Repair Condition,Multi Code,Number of Commercial Units,Prior Tax Year Market Value Estimate (Land),Prior Tax Year Market Value Estimate (Building),Longitude,Latitude,Total Building Square Feet,Multi Property Indicator,Age,Use,Multi-Family Indicator,"Condition, Desirability and Utility",Near Major Road,Location Factor,Garage indicator,Neigborhood Code (mapping),Town and Neighborhood,property_city,property_zip,longitude,latitude,township,township_name,nbhd,tract_geoid,tract_pop,tract_white_perc,commissioner_dist,reps_dist,senate_dist,ward,school_elem_district
12/11/2018,5XX W 97TH ST,4.2,7.2,1.5,7.2,25091210630000.0,203.0,282.0,4500.0,72.0,1.0,0.0,2.0,1.0,6.0,3.0,1.0,1.0,2.0,,2.0,3.0,1.0,3.0,0.0,1224.0,2.0,2.0,0.0,33750.0,116330.0,-87.6367311412885,41.717653400798,,0.0,56.0,1.0,,,0.0,0.333665304939479,1.0,282.0,72282.0,CHICAGO,60628-1115,-87.6367311412885,41.71765340080046,72.0,Lake,282.0,17031730500.0,4359.0,0.002294104152329,4th,27.0,14.0,21.0,EVERS
8/5/2021,73XX N OTTAWA AVE,,,,,9253210290000.0,206.0,361.0,5320.0,71.0,2.0,0.0,3.0,1.0,8.0,4.0,1.0,1.0,2.0,,2.0,5.0,1.0,3.0,0.0,2815.0,2.0,2.0,0.0,71820.0,434920.0,-87.8179491780437,42.0135138143391,,0.0,68.0,1.0,,,0.0,1.21047397925311,1.0,361.0,71361.0,CHICAGO,60631-4235,-87.8179491780437,42.013513814341735,71.0,Jefferson,361.0,17031090100.0,3508.0,0.769954389965792,9th,20.0,10.0,41.0,EBINGER
8/27/2020,39XX S ELLIS AVE,3.5,6.5,3.5,6.5,20021020391005.0,299.0,10.0,13610.0,70.0,,,,,,,,,,,,,,3.0,,,,,,30070.0,232950.0,-87.6047296383645,41.8224707024919,,0.0,14.0,1.0,,AV,0.0,0.872947654019812,,10.0,7010.0,CHICAGO,60653-2462,-87.60472963836446,41.8224707024945,70.0,Hyde Park,10.0,17031836400.0,3737.0,0.038801177415039,3rd,26.0,13.0,4.0,ROBINSON
8/7/2019,30XX N NARRAGANSETT AVE,1.9,1.3,1.3,1.9,13291080040000.0,204.0,200.0,4250.0,71.0,1.0,0.0,1.0,1.0,8.0,3.0,1.0,1.0,2.0,,2.0,3.0,1.0,3.0,0.0,1926.0,2.0,2.0,0.0,53120.0,236330.0,-87.7855048854739,41.9361275604177,,0.0,95.0,1.0,,,1.0,1.15678854444677,1.0,200.0,71200.0,CHICAGO,60634-4947,-87.78550488547391,41.93612756042029,71.0,Jefferson,200.0,17031190401.0,4193.0,0.304078225614119,12th,3.0,2.0,36.0,LYON
8/6/2018,23XX W BERWYN AVE,0.5,0.5,0.5,0.5,14071120170000.0,205.0,12.0,4750.0,73.0,2.0,0.0,1.0,1.0,6.0,3.0,1.0,3.0,2.0,,2.0,3.0,1.0,1.0,0.0,1562.0,2.0,2.0,0.0,199500.0,382020.0,-87.6869758607691,41.9774791969185,,0.0,110.0,1.0,,,0.0,1.50734267507671,1.0,12.0,7312.0,CHICAGO,60625-1120,-87.68697586076902,41.9774791969212,73.0,Lake View,12.0,17031040100.0,3879.0,0.690126321216808,10th,13.0,7.0,40.0,CHAPPELL
12/26/2019,5XX W 97TH ST,7.0,1.5,1.1,7.0,25091120760000.0,203.0,282.0,3750.0,72.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,,2.0,1.0,1.0,3.0,0.0,1056.0,2.0,2.0,0.0,28120.0,89440.0,-87.6378771347517,41.7181624925025,,0.0,58.0,1.0,,,0.0,0.344636413470124,1.0,282.0,72282.0,CHICAGO,60628-1158,-87.63787713475163,41.71816249250501,72.0,Lake,282.0,17031730500.0,4359.0,0.002294104152329,4th,27.0,14.0,21.0,EVERS
11/13/2018,45XX S OAKENWALD AVE,0.5,0.5,0.5,0.5,20024040960000.0,278.0,10.0,3508.0,70.0,2.0,0.0,2.0,1.0,10.0,4.0,1.0,1.0,2.0,,2.0,4.0,1.0,3.0,0.0,2478.0,2.0,2.0,0.0,59630.0,429320.0,-87.5940705598109,41.8119067535083,,0.0,20.0,1.0,,,0.0,0.875946262208578,1.0,10.0,7010.0,CHICAGO,60653-4514,-87.59407055981085,41.81190675351086,70.0,Hyde Park,10.0,17031390100.0,1570.0,0.02484076433121,3rd,25.0,13.0,4.0,ROBINSON
9/27/2016,90XX S CRANDON AVE,4.8,6.8,6.0,6.8,25012300190000.0,203.0,130.0,3750.0,70.0,1.0,0.0,2.0,1.0,6.0,3.0,1.0,1.0,2.0,,2.0,0.0,0.0,3.0,0.0,1259.0,2.0,2.0,0.0,33750.0,105040.0,-87.5678921406088,41.7300753452996,,0.0,61.0,1.0,,,0.0,0.242285320345731,0.0,130.0,70130.0,CHICAGO,60617-3808,-87.5678921406088,41.73007534530208,70.0,Hyde Park,130.0,17031480400.0,5584.0,0.01647564469914,4th,25.0,13.0,7.0,HOYNE
10/22/2016,45XX N KENNETH AVE,2.9,5,3.5,5.0,13151220150000.0,211.0,71.0,7850.0,71.0,2.0,3.0,1.0,1.0,13.0,5.0,1.0,3.0,2.0,,2.0,3.0,1.0,1.0,0.0,2684.0,2.0,2.0,0.0,105970.0,345000.0,-87.7403399636926,41.9641589450897,,0.0,108.0,2.0,211.0,,0.0,1.15604469213988,1.0,71.0,7171.0,CHICAGO,60630-4160,-87.74033996369253,41.96415894509239,71.0,Jefferson,71.0,17031160100.0,2577.0,0.522312766783081,12th,15.0,8.0,39.0,BELDING
,41XX N LAWNDALE AVE,,,,,13143240040000.0,205.0,82.0,4725.0,71.0,2.0,0.0,1.0,1.0,6.0,4.0,1.0,3.0,2.0,,2.0,3.0,1.0,3.0,0.0,1578.0,2.0,2.0,0.0,103950.0,291460.0,-87.7200070303239,41.9570233548067,,0.0,110.0,1.0,,,0.0,1.43759868015274,1.0,82.0,7182.0,CHICAGO,60618-2006,-87.72000703032387,41.95702335480936,71.0,Jefferson,82.0,17031160400.0,4693.0,0.470274877477094,8th,40.0,20.0,35.0,HENRY
7/10/2019,4XX W OAKDALE AVE,0.5,0.5,0.5,0.5,14281180020000.0,211.0,62.0,4445.0,73.0,3.0,4.0,2.0,2.0,29.0,14.0,1.0,2.0,2.0,,2.0,5.0,2.0,3.0,0.0,7679.0,1.0,2.0,0.0,293370.0,1283770.0,-87.641291099113,41.9353036067935,,0.0,102.0,2.0,211.0,,0.0,1.65089118710795,1.0,62.0,7362.0,CHICAGO,60657-5931,-87.64129109911295,41.93530360679613,73.0,Lake View,62.0,17031063302.0,3781.0,0.781539275323988,10th,12.0,6.0,44.0,NETTELHORST
2/12/2024,22XX N WESTERN AVE,0.25,0.25,0.25,0.25,14311110040000.0,212.0,170.0,1992.0,77.0,2.0,2.0,2.0,2.0,7.0,4.0,1.0,3.0,2.0,,2.0,0.0,0.0,3.0,0.0,1476.0,2.0,2.0,1.0,90630.0,298980.0,-87.6872230177613,41.9223092368703,,0.0,112.0,2.0,212.0,,1.0,2.27791983919147,0.0,170.0,77170.0,CHICAGO,60647-3122,-87.68722301776128,41.92230923687289,77.0,West Chicago,170.0,17031221600.0,3136.0,0.721619897959184,8th,11.0,6.0,32.0,PULASKI
10/8/2019,54XX W BYRON ST,4.7,23,3.3,23.0,13211050360000.0,203.0,150.0,3600.0,71.0,5.0,0.0,1.0,1.0,6.0,3.0,1.0,3.0,2.0,,2.0,3.0,1.0,1.0,0.0,1729.0,2.0,2.0,0.0,45000.0,272590.0,-87.7623238519035,41.9517241271728,,0.0,102.0,1.0,,,0.0,1.12245148056987,1.0,150.0,71150.0,CHICAGO,60641-2515,-87.76232385190345,41.95172412717541,71.0,Jefferson,150.0,17031150700.0,4197.0,0.456516559447224,12th,39.0,20.0,38.0,"GRAY, W"
5/7/2019,21XX W SHAKESPEARE AVE,5.4,12,2.5,12.0,14311260110000.0,203.0,170.0,2400.0,77.0,5.0,0.0,2.0,1.0,6.0,3.0,1.0,1.0,2.0,,2.0,3.0,1.0,3.0,0.0,1110.0,2.0,2.0,0.0,109200.0,477910.0,-87.6818403781814,41.9204975302761,,0.0,128.0,1.0,,,0.0,2.37538224486649,1.0,170.0,77170.0,CHICAGO,60647-3315,-87.6818403781814,41.92049753027867,77.0,West Chicago,170.0,17031832200.0,3289.0,0.750684098510186,12th,10.0,5.0,32.0,PULASKI
10/23/2020,59XX W WALTON ST,,,,,16054180040000.0,211.0,13.0,4500.0,77.0,2.0,2.0,1.0,1.0,7.0,4.0,2.0,3.0,2.0,,2.0,1.0,1.0,3.0,0.0,2416.0,2.0,2.0,0.0,38250.0,129170.0,-87.7745861551809,41.8971759347866,,0.0,111.0,2.0,211.0,,0.0,0.780018019627931,1.0,13.0,7713.0,CHICAGO,60651-2545,-87.77458615518086,41.89717593478916,77.0,West Chicago,13.0,17031251300.0,3934.0,0.0355871886121,1st,78.0,39.0,29.0,BRUNSON
1/17/2018,51XX S LARAMIE AVE,2.0,0.5,0.5,2.0,19094000550000.0,278.0,350.0,4158.0,72.0,2.0,0.0,3.0,1.0,8.0,4.0,1.0,3.0,2.0,,2.0,3.0,1.0,3.0,0.0,2186.0,2.0,2.0,0.0,41580.0,227710.0,-87.7523519133364,41.7990967351404,,0.0,61.0,1.0,,,0.0,0.752035613745802,1.0,350.0,72350.0,CHICAGO,60638-3021,-87.75235191333633,41.79909673514298,72.0,Lake,350.0,17031835200.0,2020.0,0.288613861386139,16th,22.0,11.0,14.0,TWAIN
10/15/2016,29XX N TROY ST,,,,,13251200130000.0,211.0,150.0,3150.0,77.0,5.0,2.0,1.0,1.0,6.0,3.0,1.0,3.0,2.0,,2.0,3.0,1.0,3.0,0.0,1642.0,2.0,2.0,0.0,89770.0,315690.0,-87.7059097209924,41.9341957720009,,0.0,121.0,2.0,211.0,,0.0,1.84362607725763,1.0,150.0,77150.0,CHICAGO,60618-7614,-87.70590972099231,41.93419577200356,77.0,West Chicago,150.0,17031210700.0,4392.0,0.342668488160291,8th,40.0,20.0,33.0,LOGANDALE
3/12/2019,59XX S MASSASOIT AVE,4.0,3.7,1.1,4.0,19174040200000.0,203.0,380.0,3750.0,72.0,1.0,0.0,2.0,1.0,5.0,3.0,1.0,3.0,2.0,,2.0,3.0,1.0,3.0,0.0,1022.0,2.0,2.0,0.0,37500.0,168840.0,-87.7659584833597,41.7836111631968,,0.0,62.0,1.0,,,0.0,0.884444096214403,1.0,380.0,72380.0,CHICAGO,60638-3704,-87.76595848335964,41.78361116319934,72.0,Lake,380.0,17031640300.0,7157.0,0.331703227609334,11th,22.0,11.0,13.0,HALE
8/25/2019,26XX N ORCHARD ST,4.4,7.2,4.6,7.2,14283030370000.0,206.0,93.0,3650.0,73.0,2.0,0.0,2.0,2.0,9.0,4.0,1.0,1.0,2.0,,2.0,3.0,1.0,1.0,0.0,2286.0,2.0,2.0,0.0,262800.0,802160.0,-87.6468969410582,41.931081679443,,0.0,130.0,1.0,,,0.0,2.04904422158542,1.0,93.0,7393.0,CHICAGO,60614-1518,-87.64689694105817,41.93108167944558,73.0,Lake View,93.0,17031070200.0,4283.0,0.807144524865748,10th,11.0,6.0,43.0,ALCOTT ES
8/31/2020,26XX W 21ST ST,1.9,1.2,1.2,1.9,16244160330000.0,202.0,115.0,2976.0,77.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,,2.0,3.0,1.0,1.0,0.0,546.0,2.0,2.0,0.0,34960.0,84980.0,-87.6921023809635,41.8540794001336,,0.0,130.0,1.0,,,0.0,0.800427246688234,1.0,115.0,77115.0,CHICAGO,60608-2418,-87.69210238096343,41.854079400136165,77.0,West Chicago,115.0,17031840700.0,3697.0,0.087368136326751,7th,9.0,5.0,24.0,HAMMOND
5/25/2019,59XX N NINA AVE,2.1,4.9,1.1,4.9,13063050550000.0,203.0,420.0,3267.0,71.0,5.0,0.0,1.0,1.0,5.0,2.0,1.0,3.0,2.0,,2.0,1.0,1.0,3.0,0.0,1450.0,2.0,2.0,0.0,40830.0,305570.0,-87.8005287551294,41.989869022045,,0.0,64.0,1.0,,,0.0,1.24207569937036,1.0,420.0,71420.0,CHICAGO,60631-2409,-87.80052875512935,41.98986902204763,71.0,Jefferson,420.0,17031100300.0,6186.0,0.801325573876495,9th,20.0,10.0,41.0,NORWOOD PARK
2/22/2020,9XX N DAMEN AVE,0.5,0.5,0.5,0.5,17064210170000.0,211.0,51.0,3150.0,77.0,5.0,2.0,2.0,1.0,8.0,4.0,4.0,3.0,2.0,,2.0,2.0,1.0,3.0,0.0,1890.0,2.0,2.0,0.0,107100.0,422130.0,-87.6767672398421,41.898204954157,,0.0,140.0,2.0,211.0,,0.0,2.07657429738536,1.0,51.0,7751.0,CHICAGO,60622-4949,-87.6767672398421,41.89820495415962,77.0,West Chicago,51.0,17031242200.0,3347.0,0.776217508216313,2nd,4.0,2.0,2.0,COLUMBUS
2/13/2016,60XX W DAKIN ST,4.12,0.5,0.5,4.12,13201040100000.0,203.0,150.0,3690.0,71.0,5.0,0.0,2.0,1.0,6.0,4.0,1.0,3.0,2.0,,2.0,2.0,1.0,3.0,0.0,1414.0,2.0,2.0,0.0,46120.0,223230.0,-87.7780130673344,41.9518330277244,,0.0,101.0,1.0,,,0.0,1.18698853081277,1.0,150.0,71150.0,CHICAGO,60634-2519,-87.77801306733436,41.95183302772708,71.0,Jefferson,150.0,17031170200.0,4106.0,0.518996590355577,12th,3.0,2.0,38.0,SMYSER
8/2/2022,93XX S CRANDON AVE,,,,,25014230510000.0,203.0,130.0,3833.0,70.0,1.0,0.0,2.0,1.0,5.0,3.0,1.0,3.0,2.0,,2.0,3.0,2.0,3.0,0.0,1190.0,2.0,2.0,0.0,34490.0,96520.0,-87.5677468134371,41.7247716252667,,0.0,62.0,1.0,,,0.0,0.194469007274012,1.0,130.0,70130.0,CHICAGO,60617-3927,-87.56774681343707,41.7247716252692,70.0,Hyde Park,130.0,17031480400.0,5584.0,0.01647564469914,4th,25.0,13.0,7.0,HOYNE
7/23/2020,33XX N PULASKI RD,2.1,2.1,1.4,2.1,13233170050000.0,211.0,70.0,3125.0,71.0,5.0,2.0,1.0,1.0,9.0,5.0,1.0,3.0,2.0,,2.0,3.0,2.0,1.0,0.0,1511.0,2.0,2.0,0.0,50000.0,269300.0,-87.7269288828792,41.9423460240217,,0.0,116.0,2.0,211.0,,1.0,1.35566237738881,1.0,70.0,7170.0,CHICAGO,60641-4011,-87.72692888287914,41.942346024024346,71.0,Jefferson,70.0,17031831100.0,7891.0,0.330756558104169,8th,40.0,20.0,30.0,REILLY
