Date Sampled,Address,1st Draw,2nd Draw,3rd Draw,4th Draw,5th Draw,6th Draw,7th Draw,8th Draw,9th Draw,10th Draw
4/28/2018,59XX N KOSTNER AVE**,0.50,24.00,38.50,36.70,35.60,34.80,33.30,29.90,27.60,19.70
3/23/2022,101XX S LASALLE ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
8/26/2016,103XX S ST LOUIS AVE,0.50,0.50,2.34,2.35,5.64,12.30,13.40,12.70,12.00,10.30
8/11/2023,107XX S COTTAGE GROVE AVE,0.50,1.58,1.79,3.49,1.27,2.63,2.96,1.24,1.07,1.17
12/6/2021,108XX S EGGLESTON AVE,0.50,0.50,1.05,0.50,1.85,2.44,1.75,3.60,5.13,2.86
8/29/2023,10XX N OAKLEY BLVD,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
9/1/2017,10XX W 18TH ST,0.50,0.50,1.11,1.22,0.50,0.50,1.06,1.04,1.05,1.09
3/26/2016,11XX W LUNT AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
2/7/2024,13XX W WINONA ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
10/28/2016,14XX W MELROSE ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
6/4/2021,16XX N KEELER AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
7/26/2021,18XX W ESTES AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
2/28/2017,20XX W LUNT AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
3/19/2019,23XX S MARSHALL BLVD,0.50,0.50,1.66,1.77,1.14,0.50,0.50,0.50,0.50,0.50
10/6/2021,24XX W HOMER ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
6/29/2017,26XX N SEMINARY AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
11/22/2022,27XX W AUGUSTA BLVD,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
4/28/2017,28XX N RIDGEWAY AVE**,0.50,2.36,1.97,0.50,0.50,0.50,0.50,0.50,0.50,0.50
5/31/2017,34XX N HAMILTON AVE,0.50,13.60,1.30,3.40,2.66,2.75,2.26,0.50,0.50,0.50
10/7/2021,34XX W MONROE ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
5/31/2019,38XX N ALBANY ,0.50,0.50,0.50,1.50,1.29,1.77,2.32,2.37,2.62,2.53
3/25/2019,39XX N OAKLEY ,0.50,1.06,1.00,0.50,0.50,0.50,1.16,1.14,1.13,1.23
1/7/2019,40XX N MAPLEWOOD ,0.50,1.23,1.25,1.44,1.52,1.70,1.47,1.39,1.24,1.05
5/18/2021,41XX S BERKELEY AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
8/18/2016,42XX N AVERS AVE,0.50,4.03,10.70,10.90,5.15,8.08,7.99,7.96,7.99,3.61
10/3/2019,43XX S BERKELEY AVE,0.50,1.67,0.50,0.50,0.50,0.50,0.50,1.21,0.50,0.50
3/1/2017,45XX N MALDEN ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
8/31/2021,45XX N VIRGINIA AVE,0.50,1.71,2.03,2.27,2.77,3.04,3.32,3.38,3.41,3.88
4/9/2024,47XX N DAMEN AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
5/3/2024,48XX S ELLIS AVE,0.50,0.50,0.50,0.50,1.13,1.21,1.48,1.52,1.82,1.69
10/18/2021,4XX W BRIAR PL,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
8/27/2021,50XX W DAKIN ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
8/2/2021,52XX N MAGNOLIA AVE,0.50,0.50,1.30,1.50,1.20,1.20,1.20,1.30,1.20,1.30
8/30/2021,52XX N MILWAUKEE AVE,0.50,0.50,0.50,0.50,1.22,0.50,0.50,0.50,0.50,0.50
11/8/2023,52XX N SAWYER AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
2/2/2017,52XX W CUYLER AVE,0.50,0.50,1.10,1.08,0.50,0.50,0.50,0.50,0.50,0.50
5/29/2019,53XX S CORNELL ,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
7/21/2021,55XX N CHRISTIANA AV,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.70
5/19/2021,55XX S UNION AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
6/3/2021,5XX E 88TH ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
10/15/2016,5XX S CLINTON ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
5/19/2017,5XX W 128TH ST,0.50,0.50,0.50,0.50,0.50,1.44,1.61,1.62,1.79,1.84
5/6/2022,61XX S KEDVALE AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.25
8/4/2023,62XX N WAYNE AVE,0.50,1.28,2.63,4.05,8.02,17.10,21.50,14.80,8.98,7.23
3/28/2022,64XX S LANGLEY AVE,0.50,0.50,0.50,0.50,0.50,1.16,1.36,1.57,1.43,0.50
7/3/2023,64XX S MORGAN ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
5/19/2021,65XX S CLAREMONT AVE,0.50,0.50,0.50,2.50,7.24,9.58,7.99,7.71,7.36,7.23
3/26/2019,68XX S CLAREMONT ,0.50,0.50,0.50,1.08,1.17,1.04,0.50,0.50,0.50,0.50
4/2/2019,69XX N GREENVIEW ,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
4/20/2023,72XX S ARTESIAN AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
